company_name,funding_round_type,funded_year, raised_amount_usd 
Canal do Credito,series-a,2010,"750,000"
#waywire,series-a,2012,"1,750,000"
&TV Communications,venture,2010,"1,000,000"
&TV Communications,venture,2010,"3,000,000"
'Rock' Your Paper,angel,2012,"40,000"
(In)Touch Network,series-a,2011,"1,500,000"
#NAME?,angel,2012,"600,000"
.Club Domains,series-b,2013,"7,000,000"
.Fox Networks,venture,2007,"4,912,394"
0-6.com,series-a,2008,"2,000,000"
0xdata,venture,2013,"1,700,000"
"1,2,3 Listo",angel,2013,"40,000"
1-800-DENTIST,venture,2010,
1-800-DOCTORS,series-a,2011,"1,750,000"
10-20 Media,other,2010,"250,000"
10-20 Media,other,2011,"500,000"
10-20 Media,other,2011,"800,000"
10-20 Media,other,2009,"500,000"
1000 Corks,angel,2011,"40,000"
1000 Markets,angel,2009,"500,000"
1000jobboersen.de,series-b,2011,
1000memories,angel,2010,"15,000"
1000memories,series-a,2011,"2,520,000"
1000museums.com,other,2013,"647,879"
1000museums.com,venture,2011,"642,000"
1000museums.com,venture,2014,"2,906,832"
1000museums.com,venture,2009,"265,940"
1001 Menus,series-a,2013,"1,736,910"
100du.tv,series-a,2008,"3,000,000"
100du.tv,series-c+,2010,
100e.com,venture,2006,"3,000,000"
100Plus,venture,2011,"500,000"
100Plus,angel,2011,"750,000"
1010data,venture,2010,"35,000,000"
10alike,angel,2013,
10BestThings,angel,2009,"50,000"
10seconds Software,angel,2010,"100,000"
10X Technologies,other,2012,"3,000,000"
10X10 Room,other,2011,"77,500"
11i Solutions,venture,2011,"1,800,000"
121cast,other,2012,"20,000"
121cast,angel,2012,"250,000"
121nexus,angel,2012,"14,000"
121nexus,angel,2012,"55,000"
121nexus,angel,2013,"500,000"
121nexus,other,2013,"150,000"
121nexus,other,2014,"30,000"
121nexus,other,2013,"45,000"
1234ENTER,venture,2013,"150,267"
1234ENTER,angel,2012,"500,000"
123ContactForm,angel,2010,
123people,angel,2008,
1248,angel,2014,"378,813"
12Society,angel,2012,
1366 Technologies,venture,2010,"5,150,000"
1366 Technologies,series-b,2010,"20,000,000"
1366 Technologies,series-a,2008,"12,400,000"
1366 Technologies,series-b,2010,"6,000,000"
1366 Technologies,series-b,2011,"2,400,000"
1366 Technologies,other,2011,"3,000,000"
1366 Technologies,series-c+,2013,"15,000,000"
1366 Technologies,series-c+,2013,"2,500,000"
139shop,series-a,2007,
