,funded_years,raised_amount_usd
0,1960,52736030.0
1,1984,173444.0
2,1987,2500000.0
3,1989,15000.0
4,1990,1000000.0
5,1992,0.0
6,1993,125000.0
7,1994,1740000.0
8,1995,19000000.0
9,1996,8012500.0
10,1997,74800000.0
11,1998,167609790.0
12,1999,603015573.0
13,2000,1467477148.0
14,2001,806074412.0
15,2002,769409353.0
16,2003,938289343.0
17,2004,2200265765.0
18,2005,13343014221.0
19,2006,97211353795.0
20,2007,24706240065.0
21,2008,34674627064.0
22,2009,43656872957.0
23,2010,52394688617.0
24,2011,57095895742.0
25,2012,50600929455.0
26,2013,85564918157.0
27,2014,32281212697.0
