,funded_year,raised_amount_usd
0,2010,750000
1,2012,1750000
2,2010,1000000
3,2010,3000000
4,2012,40000
5,2011,1500000
6,2012,600000
7,2013,7000000
8,2007,4912394
9,2008,2000000
10,2013,1700000
11,2013,40000
13,2011,1750000
14,2010,250000
15,2011,500000
16,2011,800000
17,2009,500000
18,2011,40000
19,2009,500000
21,2010,15000
22,2011,2520000
23,2013,647879
24,2011,642000
25,2014,2906832
26,2009,265940
27,2013,1736910
28,2008,3000000
30,2006,3000000
31,2011,500000
32,2011,750000
33,2010,35000000
35,2009,50000
36,2010,100000
37,2012,3000000
38,2011,77500
39,2011,1800000
40,2012,20000
41,2012,250000
42,2012,14000
43,2012,55000
44,2013,500000
45,2013,150000
46,2014,30000
47,2013,45000
48,2013,150267
49,2012,500000
52,2014,378813
54,2010,5150000
55,2010,20000000
56,2008,12400000
57,2010,6000000
58,2011,2400000
59,2011,3000000
60,2013,15000000
61,2013,2500000
63,2012,700000
64,2011,2500000
65,2009,3000000
66,2010,500000
67,2011,1704822
68,2008,4500000
69,2013,1000000
70,2012,200000
71,2011,200000
72,2009,199957
73,2009,50000
74,2002,14000000
75,2014,82500000
76,2012,1623640
77,2008,568274
78,2010,6230000
79,2013,3247280
82,2011,200000000
83,2008,40000
87,2012,40000
88,2009,31924
89,2009,11888
90,2008,50000
92,2013,1450000
93,2012,200000
94,2013,1100000
95,2013,162364
96,2013,30000000
97,2013,500000
101,2013,19299
102,2011,30000
104,2012,42000000
106,2014,15000000
107,2012,750000
108,2013,1000000
109,2013,500000
110,2008,1660000
111,2012,150000
112,2010,2500000
113,2012,4300000
114,2013,26000000
115,2011,7200000
116,2011,1000000
117,2008,29750000
118,2012,114804
119,2013,321650
120,2009,800000
121,2010,2000000
122,2010,1460000
123,2013,5050000
124,2006,2580000
126,2013,100000000
127,2012,530000
128,2012,2428500
129,2011,1926250
130,2010,100000
131,2013,250000
133,2010,1786004
134,2011,615000
135,2007,9000000
136,2009,12600000
137,2010,22000000
138,2011,9000000
139,2012,57949900
140,2011,50000
141,2008,185452
142,2009,1024250
145,2011,3452941
146,2012,600000
147,2009,500000
148,2010,16000000
150,2011,50000
152,2007,4000000
153,2012,200000
154,2010,25000
155,2004,2000000
157,2012,118000
159,2008,250000
160,2013,5844811
162,2011,1000000
163,2014,2000000
164,2012,2000000
165,2014,5000000
166,2010,6785876
168,2010,230000
169,2012,153000
170,2011,1500000
171,2010,1000000
172,2009,441000
173,2013,165000000
174,2013,250000
177,2010,275000
178,2012,856845
179,2005,85000000
180,2012,4154420
181,2011,490000
182,2013,23000000
183,2013,20000
184,2007,939000
186,2007,100000
187,2008,200000
188,2009,10000000
189,2010,20000000
190,2011,32500000
191,2009,2275000
192,2012,26000000
193,2013,5100000
194,2011,80000
198,2009,30000000
199,2012,20000000
200,2013,20000000
201,2012,8089000
202,2013,25000
203,2009,750000
204,2010,1284560
205,2011,9000000
206,2012,13100000
207,2009,1520000
209,2009,5000000
210,2013,7650000
211,2013,1543920
212,2013,4100000
214,2013,1623640
217,2013,1200000
220,2012,1600000
222,2006,3750000
223,2011,375000
224,2013,75000
225,2011,133620
226,2010,250000
227,2011,250000
228,2014,4200000
229,2013,1540000
230,2013,1465000
231,2010,210000
232,2008,170000
233,2013,124000
234,2011,379000
236,2012,350000
237,2013,850000
238,2012,5000000
239,2013,30000000
240,2013,294940
241,2012,110000
242,2011,505000
243,2014,2000000
244,2012,150000
245,2010,1250000
247,2013,50000
248,2011,1870000
249,2012,7200000
250,2009,236500
251,2007,1240000
252,2010,825000
253,2008,475000
254,2013,750000
255,2011,1700000
256,2012,349999
257,2006,20000000
259,2006,974184
260,2007,6500000
261,2010,5000000
262,2009,2208150
263,2007,4000000
264,2007,20000000
265,2008,35000000
266,2005,10000000
267,2010,1500000
268,2008,732000
269,2007,4051500
270,2010,520000
271,2011,10000000
272,2013,12000000
273,2010,3400000
274,2010,450000
275,2011,511601
276,2011,50000
277,2006,1500000
279,2011,50000000
280,2011,500000
281,2012,1000000
282,2008,1394250
283,2010,800000
284,2013,4200000
285,2012,350000
287,2011,40000
288,2011,2000000
290,2009,13780000
291,2014,15152514
292,2008,10000000
293,2010,3000000
294,2007,2000000
295,2007,272000
296,2013,25500000
297,2009,12000000
298,2006,9000000
299,2006,10000000
300,2010,17000000
301,2009,5000000
302,2013,3567194
303,2010,1693925
304,2011,25000
305,2012,1000000
306,2013,250000
307,2011,959979
308,1999,513200
309,2000,5733600
310,2008,50000
311,2009,380000
312,2010,620000
313,2011,750000
314,2009,3794570
315,2007,10070000
316,2006,11200000
317,2012,13000000
318,2010,1000000
319,2011,400000
320,2012,5000000
321,2013,12000000
324,2006,2258720
326,2012,125070
327,2012,15000000
328,2012,5000000
329,2013,17956999
