,category_code,status,country_code,state_code,region,city,funding_round_type
30320,19,3,23,4,625,986,0
30319,19,3,23,4,625,986,0
30262,22,3,23,4,625,1792,0
30261,22,3,23,4,625,1792,0
30258,38,3,23,4,642,336,0
30255,5,3,23,14,126,383,0
30304,9,3,23,5,171,233,0
30449,0,3,23,4,625,1285,0
30438,37,3,23,34,482,1352,0
30409,28,3,23,5,171,615,0
30355,38,3,23,43,31,105,0
30407,37,3,23,14,126,383,0
30392,6,0,23,34,482,1353,0
30387,22,3,23,22,175,65,0
30386,14,3,23,4,625,1285,0
30383,7,3,23,38,555,1547,0
30373,39,3,5,4,625,1512,0
30453,26,0,23,4,625,1285,0
30160,3,3,23,24,635,1955,0
30159,34,3,23,4,625,2006,0
30158,34,3,23,4,625,2006,0
30157,34,3,23,4,625,2006,0
30153,0,3,23,5,171,273,0
30140,15,3,23,4,625,1512,0
30139,28,3,23,39,581,1606,0
30138,28,3,23,39,581,1606,0
30137,28,3,23,39,581,1606,0
30136,28,3,23,39,581,1606,0
30135,28,3,23,39,581,1606,0
30106,7,3,23,14,126,383,0
30105,7,3,23,14,126,383,0
30134,38,1,23,31,594,1651,0
30236,14,3,23,4,642,1788,0
30228,7,3,23,34,482,1309,0
30222,12,0,23,4,625,1792,0
30201,37,3,23,4,625,1792,0
30192,1,3,23,32,650,1829,0
30191,12,3,23,19,726,783,0
30189,39,3,23,27,119,370,0
30180,42,1,23,34,482,1352,0
30176,33,3,23,38,555,1547,0
30175,33,3,23,38,555,1547,0
30173,22,3,23,4,625,1792,0
30168,19,3,23,3,556,1854,0
30454,42,3,23,4,625,1792,0
30458,12,3,23,4,625,1792,0
30620,11,3,23,34,482,1352,0
30616,8,3,23,4,625,1792,0
30613,38,3,23,7,778,2167,0
30611,8,3,23,14,126,383,0
30610,8,3,23,14,126,383,0
30660,12,3,23,38,557,1558,0
30609,8,3,23,39,581,1606,0
30603,28,3,23,34,482,1352,0
30601,8,3,23,4,625,1792,0
30590,9,3,23,4,625,1656,0
30586,34,3,23,4,625,1570,0
30661,1,3,23,4,625,1792,0
30663,17,1,23,7,778,2167,0
30748,11,3,23,34,482,1352,0
30732,11,3,23,9,417,1207,0
30731,28,3,23,4,625,1792,0
30723,42,3,23,45,778,81,0
30722,42,3,23,45,778,81,0
30719,42,3,23,19,78,321,0
30715,7,3,23,4,625,1225,0
30706,6,3,23,4,625,1656,0
30662,17,1,23,7,778,2167,0
30705,6,3,23,4,625,1656,0
30695,38,1,23,9,728,2027,0
30687,11,3,23,4,625,1792,0
30670,17,3,23,34,482,1352,0
30669,17,3,23,4,625,1792,0
30667,17,3,23,9,417,1207,0
30665,17,3,23,4,373,1080,0
30664,17,3,23,4,373,1080,0
30704,6,3,23,4,625,1656,0
30455,35,3,23,33,347,1021,0
30579,34,3,23,16,325,936,0
30489,17,0,23,4,625,1512,0
30488,17,0,23,4,625,1512,0
30487,17,3,23,4,625,1792,0
30486,17,3,23,4,625,1792,0
30484,17,3,23,4,373,1832,0
30483,17,3,23,4,373,1832,0
30482,17,3,23,4,373,1832,0
30481,17,3,23,34,482,1352,0
30480,17,3,23,34,482,1352,0
30491,4,3,23,31,726,1215,0
30469,38,3,23,4,625,1285,0
30468,38,3,23,4,625,1285,0
30467,38,3,23,4,625,1285,0
30466,38,3,23,4,625,1285,0
30465,11,3,23,37,576,2073,0
30464,5,3,23,37,576,2073,0
30463,9,0,23,4,373,2156,0
30576,14,3,23,4,625,1792,0
30571,15,3,23,19,78,321,0
30569,22,3,23,4,625,1792,0
30568,22,3,23,4,625,1792,0
30567,0,3,23,4,625,1285,0
30559,42,0,23,4,625,1792,0
30558,39,3,23,14,126,383,0
30551,21,3,23,34,482,1352,0
30546,0,3,23,9,728,2027,0
30538,9,3,23,38,555,52,0
30533,42,1,23,4,625,1800,0
30532,9,3,23,34,482,1352,0
30531,38,3,23,35,148,1040,0
30506,42,3,23,34,482,1352,0
30102,1,3,23,19,78,231,0
30097,27,3,23,5,171,233,0
29628,8,1,23,4,373,970,0
29626,42,3,23,14,126,383,0
29625,42,3,23,14,126,383,0
29624,42,3,23,14,126,383,0
29623,42,3,23,14,126,383,0
29622,42,3,23,14,126,383,0
29621,42,3,23,14,126,383,0
29620,42,3,23,14,126,383,0
29617,16,3,23,34,482,271,0
29631,3,3,23,4,373,1080,0
29613,12,1,23,4,625,1225,0
29605,38,3,23,4,625,1792,0
29601,22,3,23,4,625,1792,0
29600,30,3,23,34,482,1352,0
29614,9,3,23,7,778,2167,0
29713,7,3,23,4,625,1512,0
29710,22,3,23,33,347,1021,0
29703,22,1,23,4,373,1080,0
29667,0,3,23,4,373,2056,0
29651,9,3,23,4,625,1512,0
29650,9,3,23,4,625,1512,0
29649,42,3,23,6,255,714,0
29645,11,3,23,4,625,1792,0
29643,38,3,23,34,134,403,0
29641,7,3,23,19,78,1174,0
29639,7,3,23,4,625,1844,0
29583,42,3,23,4,625,1792,0
29481,38,3,23,42,469,1325,0
29478,22,3,23,5,171,233,0
29477,22,3,23,5,171,233,0
29475,21,3,23,4,625,1512,0
29471,1,3,23,4,625,185,0
29463,22,0,23,4,625,1792,0
29443,41,3,23,4,373,996,0
29438,22,3,23,4,625,1792,0
29427,22,3,23,9,417,1207,0
29587,0,0,23,4,625,1792,0
29488,14,3,23,19,78,231,0
29577,3,3,23,23,430,1234,0
29566,9,3,23,19,78,231,0
29564,15,3,23,4,625,1792,0
29546,42,0,23,4,373,1080,0
29487,14,3,23,19,78,231,0
29545,42,0,23,4,373,1080,0
29541,11,3,23,4,625,683,0
29539,12,3,23,24,635,1955,0
29538,12,3,23,24,635,1955,0
29537,12,3,23,24,635,1955,0
29516,22,3,23,4,625,1227,0
29500,38,3,23,20,778,193,0
29499,38,3,23,20,778,193,0
29542,38,0,23,34,482,1352,0
30098,27,3,23,5,171,233,0
29722,26,3,23,34,482,1352,0
29966,35,3,23,20,778,193,0
29954,8,3,23,45,778,85,0
29945,9,3,23,4,625,2006,0
29927,9,3,23,10,23,93,0
29906,9,3,23,30,468,1324,0
29930,1,3,23,4,625,1792,0
29886,12,3,23,4,373,899,0
30020,7,3,23,43,299,475,0
30089,37,3,23,35,133,398,0
30088,8,3,23,4,373,1080,0
30079,22,3,23,4,373,1832,0
30078,22,3,23,4,373,1832,0
30054,38,3,23,34,482,1352,0
30052,38,3,23,34,482,1352,0
30039,12,1,23,42,410,1192,0
30077,22,3,23,4,373,1832,0
29879,12,3,23,34,482,1352,0
29771,28,3,23,4,625,2006,0
29770,28,3,23,4,625,2006,0
29766,12,3,23,9,728,2027,0
29756,42,1,23,42,122,374,0
29755,9,3,23,9,370,1069,0
29754,9,3,23,9,370,1069,0
29753,9,3,23,9,370,1069,0
29752,9,3,23,9,370,1069,0
29787,12,3,23,42,410,1192,0
29741,22,3,23,4,373,1832,0
29740,22,3,23,4,373,1832,0
29739,42,0,23,34,482,1352,0
29734,37,0,23,4,625,1792,0
29725,26,3,23,34,482,1352,0
29724,26,3,23,34,482,1352,0
29723,26,3,23,34,482,1352,0
29745,42,3,23,38,555,1547,0
29882,22,3,23,20,778,1887,0
29875,9,3,23,34,482,1352,0
29853,7,1,23,14,126,383,0
29849,25,1,23,4,373,899,0
29844,0,3,23,35,133,1869,0
29841,8,3,23,34,482,1353,0
29831,38,3,23,19,78,434,0
30759,11,3,23,4,625,1792,0
31807,37,3,23,24,635,1955,0
31806,37,3,23,24,635,1955,0
31801,22,3,23,4,625,1792,0
31800,22,3,23,4,625,1792,0
31799,4,3,23,19,78,231,0
31777,38,0,23,19,78,231,0
31776,22,3,23,43,31,105,0
31808,37,3,23,24,635,1955,0
31764,1,3,23,19,78,231,0
31755,38,3,23,17,81,239,0
31739,7,3,23,4,625,1792,0
31738,42,0,23,19,78,231,0
31810,37,3,23,24,635,1955,0
31815,14,3,23,4,625,1792,0
31868,7,3,23,34,482,1352,0
31854,9,3,23,4,625,1792,0
31811,0,3,23,4,625,1792,0
31846,42,3,23,39,581,1606,0
31834,0,0,23,19,78,321,0
31822,39,3,23,29,521,1049,0
31821,35,3,23,16,325,1470,0
31816,14,3,23,4,625,1792,0
31838,42,3,23,43,844,2207,0
31737,42,0,23,19,78,231,0
31735,16,3,23,34,482,1352,0
31681,7,3,23,9,417,1207,0
31679,32,3,23,27,588,1638,0
31678,38,3,23,45,726,1382,0
31677,7,3,23,48,386,1134,0
31663,28,3,23,4,625,1792,0
31645,38,3,23,10,23,93,0
31682,18,3,23,43,31,105,0
31644,38,3,23,10,23,93,0
31635,28,3,23,22,175,1063,0
31631,14,0,23,22,175,659,0
31590,38,0,23,34,482,1352,0
31736,42,0,23,19,78,231,0
31683,0,3,23,4,648,1823,0
31692,38,3,23,43,31,105,0
31734,42,0,23,4,625,1792,0
31733,42,0,23,4,625,1792,0
31732,38,3,23,18,45,152,0
31730,7,3,23,34,482,1352,0
31729,38,3,23,38,364,1057,0
31723,34,3,23,34,482,1352,0
31722,34,3,23,34,482,1352,0
31721,34,3,23,47,667,1860,0
31720,42,3,23,20,36,142,0
31689,42,3,23,4,625,283,0
