funded_quarter,raised_amount_usd
1984-Q1,32444
1987-Q1,2500000
1994-Q3,740000
1995-Q2,2000000
1995-Q3,8000000
1995-Q4,14400000
1996-Q1,12836380
1996-Q4,42000000
1997-Q1,61520000
1997-Q2,6700000
1997-Q4,67600000
1998-Q1,36000000
1998-Q2,98672800
1998-Q3,100000
1998-Q4,4000
1999-Q1,129240000
1999-Q2,240357595
1999-Q3,240277517
1999-Q4,823118000
2000-Q1,729522780
2000-Q2,2902232378
2000-Q3,946800000
2000-Q4,1448810122
2001-Q1,839510598
2001-Q2,421827892
2001-Q3,341060100
2001-Q4,503714640
2002-Q1,318382982
2002-Q2,529270302
2002-Q3,748515800
2002-Q4,627084596
2003-Q1,894826414
2003-Q2,472810754
2003-Q3,196411822
2003-Q4,646635929
2004-Q1,1871972205
2004-Q2,1587860442
2004-Q3,1282145856
2004-Q4,1428684162
2005-Q1,13214030237
2005-Q2,10365630742
2005-Q3,10906653440
2005-Q4,14232387433
2006-Q1,14955048711
2006-Q2,17291441775
2006-Q3,14867499022
2006-Q4,15802076641
2007-Q1,22558786870
2007-Q2,16617175375
2007-Q3,22938593259
2007-Q4,20992308605
2008-Q1,26893428663
2008-Q2,41452759375
2008-Q3,23539016478
2008-Q4,18346895058
2009-Q1,13324759981
2009-Q2,17443789668
2009-Q3,16663012808
2009-Q4,36777666683
2010-Q1,21439449859
2010-Q2,25611216764
2010-Q3,22054307543
2010-Q4,22602995559
2011-Q1,41865145468
2011-Q2,33942291430
2011-Q3,36282529580
2011-Q4,27362493354
2012-Q1,28089145159
2012-Q2,37272513300
2012-Q3,30766080809
2012-Q4,29304946199
2013-Q1,30954904165
2013-Q2,37331753641
2013-Q3,45790895497
2013-Q4,54176645124
2014-Q1,57004676066
2014-Q2,240014398
